Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:02,  1.24it/s]Loading checkpoint shards:  50%|█████     | 2/4 [00:01<00:01,  1.22it/s]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:02<00:00,  1.21it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.34it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.30it/s]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
{"concept": "literature-focused", "completed": 8, "total": 192}
{"concept": "literature-focused", "completed": 16, "total": 192}
{"concept": "literature-focused", "completed": 24, "total": 192}
{"concept": "literature-focused", "completed": 32, "total": 192}
{"concept": "literature-focused", "completed": 40, "total": 192}
{"concept": "literature-focused", "completed": 48, "total": 192}
{"concept": "literature-focused", "completed": 56, "total": 192}
{"concept": "literature-focused", "completed": 64, "total": 192}
{"concept": "literature-focused", "completed": 72, "total": 192}
{"concept": "literature-focused", "completed": 80, "total": 192}
{"concept": "literature-focused", "completed": 88, "total": 192}
{"concept": "literature-focused", "completed": 96, "total": 192}
{"concept": "literature-focused", "completed": 104, "total": 192}
{"concept": "literature-focused", "completed": 112, "total": 192}
{"concept": "literature-focused", "completed": 120, "total": 192}
{"concept": "literature-focused", "completed": 128, "total": 192}
{"concept": "literature-focused", "completed": 136, "total": 192}
{"concept": "literature-focused", "completed": 144, "total": 192}
{"concept": "literature-focused", "completed": 152, "total": 192}
{"concept": "literature-focused", "completed": 160, "total": 192}
{"concept": "literature-focused", "completed": 168, "total": 192}
{"concept": "literature-focused", "completed": 176, "total": 192}
{"concept": "literature-focused", "completed": 184, "total": 192}
{"concept": "literature-focused", "completed": 192, "total": 192}
{"concept": "mathematical", "completed": 8, "total": 192}
{"concept": "mathematical", "completed": 16, "total": 192}
{"concept": "mathematical", "completed": 24, "total": 192}
{"concept": "mathematical", "completed": 32, "total": 192}
{"concept": "mathematical", "completed": 40, "total": 192}
{"concept": "mathematical", "completed": 48, "total": 192}
{"concept": "mathematical", "completed": 56, "total": 192}
{"concept": "mathematical", "completed": 64, "total": 192}
{"concept": "mathematical", "completed": 72, "total": 192}
{"concept": "mathematical", "completed": 80, "total": 192}
{"concept": "mathematical", "completed": 88, "total": 192}
{"concept": "mathematical", "completed": 96, "total": 192}
{"concept": "mathematical", "completed": 104, "total": 192}
{"concept": "mathematical", "completed": 112, "total": 192}
{"concept": "mathematical", "completed": 120, "total": 192}
{"concept": "mathematical", "completed": 128, "total": 192}
{"concept": "mathematical", "completed": 136, "total": 192}
{"concept": "mathematical", "completed": 144, "total": 192}
{"concept": "mathematical", "completed": 152, "total": 192}
{"concept": "mathematical", "completed": 160, "total": 192}
{"concept": "mathematical", "completed": 168, "total": 192}
{"concept": "mathematical", "completed": 176, "total": 192}
{"concept": "mathematical", "completed": 184, "total": 192}
{"concept": "mathematical", "completed": 192, "total": 192}
